OBJECTID,OBJECTID_1,Characteri,Street,Limit_1,Limit_2,CrossSt1,CrossSt2,Miles,DistOffice,CD,MobilityEl,Shape_Leng,GlobalID,GlobalID_2
29,29,Other,Normandie Ave.,Vernon Ave.,I-10,Normandie Ave. & Vernon Ave.,Normandie Ave. & I-10,2.4,C,"8 , 9",PED,0.0338730063014,8e35985a-efea-4df4-a9af-fa48cf7a98c8,5fe33f33-b2be-44ac-9a9b-155d7a43da3d
30,30,Other,3rd St.,Normandie Ave.,Vermont Ave.,3rd St. & Normandie Ave.,3rd St. & Vermont Ave.,0.5,HW,10,"PED, TEN",0.00870009195357,1f817dc9-5598-4061-bac8-d71db651b69a,4f534e3a-7e30-4820-acbd-07a24613bb3b
31,31,Other,La Brea Ave.,Adams Blvd.,Pico Blvd.,La Brea Ave. & Adams Blvd.,La Brea Ave. & Pico Blvd.,1.1,HW,10,"PED, BLN, TEN",0.0165969300774,fd587377-e430-4c00-84f6-3117fa65e822,1ca187e8-29a3-40a2-8f63-31385884a489
32,32,Other,Western Ave.,Century Blvd.,Washington Blvd.,Western Ave. & Century Blvd.,Western Ave. & Washington Blvd.,6.5,S,"8 , 10","PED, NEN, BEN, TEN",0.0945059605026,7815eef0-feab-4782-bde1-0cc134bd0f22,fe2c05bb-dcb1-4c3b-83fb-c38c366e9e06
33,33,Other,Vermont Ave.,Pico Blvd.,Adams Blvd.,Vermont Ave. & Pico Blvd.,Vermont Ave. & Adams Blvd.,1,C,"1 , 8","PED, BLN, TEN",0.0145112657318,037acd25-4079-492b-be56-b64d78b1566e,c272dee2-284b-444c-882e-207e2f0fa197
34,34,Other,Washington Blvd.,La Brea Ave.,Vermont Ave.,Washington Blvd. & La Brea Ave.,Washington Blvd. & Vermont Ave.,3.2,"HW , C","1 , 10","PED, BLN",0.0559880281748,0b6c595e-55a4-4b73-b552-af406864e258,a1a7283e-ea1f-4357-9a04-0b27c07b774e
35,35,Other,Vermont Ave.,Gage Ave.,Vernon Ave.,Vermont Ave. & Gage Ave.,Vermont Ave. & Vernon Ave.,1.6,C,9,"BEN, TEN",0.0217705816782,e804cdd0-f62c-4792-87fa-e0f1a757c3f9,6e207da5-9d87-422a-ad5e-dfbc8bdf6be9
36,36,Projects in planning,Spring St,Temple,9th St, , ,0, , , ,5372.50156938,dcb921aa-4e35-4805-a453-f8c7cdbaab50,686322fb-56bf-4740-a371-3587154eabfc
37,37,Projects in planning,7th St,Olive St,S Figueroa St, , ,0, , , ,20774.0440541,fb0b85d4-4188-400b-b33c-60a8237c7819,e05b25af-230e-4d54-86db-6026f35cb336
38,38,Projects in planning,Main St,6th St,7th St, , ,0, , , ,670.06058936,046cfa34-bc28-4e44-bc0a-a17d36955077,d5c82fee-1fe1-4be0-bd05-a59c1d2f4eea
39,39,Projects in progress,Venice Blvd,Beethoven,Inglewood, , ,0, , , ,47532.4882504,c6983614-4779-4b28-ab78-465220682b59,57f40e2b-dca1-4cf9-a21b-2b5d9f033d1a
41,,Projects in progress,Lankershim Blvd,Chandler Blvd,Victory Blvd,Lankershim Blvd & Chandler Blvd,Lankershim Blvd & Victory Blvd,1.43,EV,2,"PED, BEN, TEN",7562.63177,,f0e9e02a-b028-492f-96b2-51807daa6736
