X,Y,ID,OBJECTID,TYPE,SOURCE,DATE_,CONTROL,LOCATION,COLOR,LADDER,Primary_St,Cross_Stre,CrossType,TOOLTIP
-118.544703295864608,34.257269006509013,17773,28443,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544850085602206,34.257140880271258,17774,28444,1,1,,1,180,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.54501455544063,34.257268956996221,17775,28445,1,1,,1,270,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544845725882851,34.250138301993637,17776,28446,1,1,,1,0,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544716704661639,34.250010875162886,17777,28447,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544845616841783,34.249900387776883,17778,28448,1,1,,1,180,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544995815553236,34.250010717810476,17779,28449,1,1,,1,270,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.545706872434266,34.248937928966676,17780,28450,3,1,,2,180,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.544843989799375,34.246460546495697,17781,28451,3,1,2006-01-01T00:00:00.000Z,4,0,0,1,Wilbur Av,Superior St,White Uncontrolled School Crosswalk,White Uncontrolled School Crosswalk
-118.545705900652337,34.246473072715233,17782,28452,3,1,,2,0,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.544842169394073,34.242861326521883,17783,28453,1,1,,1,0,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544704873322104,34.24275172623161,17784,28454,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544842044177898,34.242637729777655,17785,28455,1,1,,1,180,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544974137762495,34.242751598707279,17786,28456,1,1,,1,270,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.544840240440067,34.239045694900618,17787,28457,3,1,2006-01-01T00:00:00.000Z,4,180,0,1,Wilbur Av,Prairie St,White Uncontrolled School Crosswalk,White Uncontrolled School Crosswalk
-118.542397792456583,34.236427506649292,17788,28458,3,1,,2,90,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.540468678919169,34.236503043994006,17789,28459,3,1,,2,0,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.540547856648971,34.236428108378249,17790,28460,3,1,,2,270,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.540469547504301,34.23810465236005,17791,28461,3,1,,2,180,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.540573885701789,34.238161947386949,17792,28462,3,1,,2,270,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.542396666001267,34.238161111023174,17793,28463,3,1,,2,90,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.54249108417298,34.238089490230514,17794,28464,3,1,,2,180,1,0, , ,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.5425758349364,34.239122763655025,17795,28465,1,1,,2,270,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.540471641960949,34.242862501069865,17796,28466,1,1,,1,0,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.540378825029777,34.242753605128826,17797,28467,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.540471518090541,34.242645016833748,17798,28468,1,1,,1,180,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.540561629448348,34.24275353171425,17799,28469,1,1,,1,270,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.540475185238222,34.250141118534906,17800,28470,1,1,,1,0,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.540367035349888,34.250013196324609,17801,28471,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.540475023012149,34.249892899062566,17802,28472,1,1,,1,180,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.540577026743904,34.250013089038767,17803,28473,1,1,,1,270,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.53610871797855,34.25741072512124,17804,28474,1,1,,1,0,0,0,Reseda Bl,Devonshire St,White Controlled Crosswalk,White Controlled Crosswalk
-118.535921445650629,34.257270550243206,17805,28475,1,1,,1,90,0,0,Devonshire St, Reseda Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.536108561976334,34.25712764842627,17806,28476,1,1,,1,0,0,0,Reseda Bl,Devonshire St,White Controlled Crosswalk,White Controlled Crosswalk
-118.536285116574888,34.257270518327815,17807,28477,1,1,,1,270,0,0,Devonshire St,Reseda Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.536107346378543,34.253371450151249,17808,28478,1,1,,1,0,0,0,Reseda Bl,Mayall St,White Controlled Crosswalk,White Controlled Crosswalk
-118.536263604295911,34.25327270346348,17809,28479,1,1,,1,270,0,0,Mayall St,Reseda Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.536104614985348,34.25015865106554,17810,28480,1,1,,1,0,0,0,Reseda Bl,Lassen St,White Controlled Crosswalk,White Controlled Crosswalk
-118.535920358868609,34.250015294862656,17811,28481,1,1,,1,90,0,0,Lassen St,Reseda Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.536104378944742,34.249890999204311,17812,28482,1,1,,1,180,0,0,Reseda Bl,Lassen St,White Controlled Crosswalk,White Controlled Crosswalk
-118.53627365805167,34.250015243849759,17813,28483,1,1,,1,270,0,0,Lassen St,Reseda Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.44784265559764,34.062053368320917,17814,30047,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.447894396622416,34.06185676496046,17815,30048,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.448097052123813,34.061901665261964,17816,30049,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.450232138625907,34.061829467844134,17817,30050,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.45004914582303,34.061798622230462,17818,30051,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.450108068222718,34.061670979442759,17819,30052,1,1,,1,135,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.450304682546943,34.06171010437955,17820,30053,1,1,,1,225,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.448749431723016,34.059263784486689,17821,30054,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.448420822005545,34.059523736140768,17822,30055,1,1,,1,0,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.448364636367344,34.059385503876683,17823,30056,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.444136841140818,34.062559509933337,17824,30057,1,1,,1,270,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.444055235800278,34.06245208629246,17825,30058,1,1,,1,180,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.443931302213159,34.062520452838257,17826,30059,1,1,,1,90,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.446575484388077,34.060326169784872,17827,30060,1,1,,1,315,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
-118.446364668804122,34.060302481416052,17828,30061,1,1,,1,45,0,0, , ,White Controlled Crosswalk,White Controlled Crosswalk
